Ticker,Summary,Label,Confidence,URL
TSLA,Starbucks to buy back some of its own stock.,NEGATIVE,0.99385494,https://www.cnbc.com/2022/10/25/morgan-stanley-cuts-tesla-price-target-warns-of-unexpected-headwinds-ahead.html
TSLA,Elon Musk has four days to close his deal or face trial. Experts say he is likely to pay millions more in legal fees,NEGATIVE,0.996731877,https://www.businessinsider.com/elon-musk-must-close-twitter-deal-or-trial-resumes-2022-10
TSLA,"Musk recently held a meeting in the state, sources say. Tesla has no immediate plans to set up shop in Nuevo Leon",NEGATIVE,0.998059928,https://www.reuters.com/business/autos-transportation/elon-musk-eyes-potential-investment-mexicos-nuevo-leon-state-sources-2022-10-24/
TSLA,"‘A threat of this magnitude is reckless,’ says draft of open letter. Musk must complete his $44 billion acquisition by Friday",NEGATIVE,0.994849503,https://time.com/6224380/elon-musk-twitter-open-letter/
TSLA,"Musk says ‘ factories are running at full speed,’ trucks to be ‘sick’. Tesla’s next big product launch won’t be until 2023",NEGATIVE,0.996885598,https://www.theverge.com/2022/10/20/23414347/elon-musk-tesla-earnings-twitter-cybertruck-fsd-twitter
BTC,Consumer prices rose 8.2% in September from a year earlier. Bitcoin climbed back above Futures on the S&P 500 after the release,POSITIVE,0.520752311,https://finance.yahoo.com/news/first-mover-americas-bitcoin-falls-125101724.html
BTC,"Cathie Wood says she bought $100,000 worth of bitcoin in 2015. ARK Next Generation Internet Fund holds about 5.9 million shares of GBTC",NEGATIVE,0.888574779,https://finance.yahoo.com/news/cathie-wood-still-holds-bitcoin-211053405.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.997908831,https://finance.yahoo.com/news/100x-better-gold-michael-saylor-153000898.html
BTC,Analysts claim a price indicator is pointing to a significant move.,NEGATIVE,0.515408576,https://uk.finance.yahoo.com/news/bitcoin-price-crypto-ethereum-binance-094851573.html
BTC,"Grandparents, Bitcoin (BTC) and Litecoin (LTC) are showing signs of age.",NEGATIVE,0.747522652,https://finance.yahoo.com/news/ancient-bitcoin-litecoin-struggle-keep-071510637.html
BTC,Australia says central bank digital currency will be treated as foreign currency.,NEGATIVE,0.996512711,https://finance.yahoo.com/news/crypto-industry-disappointed-australia-looks-052322353.html
BTC,Rishi Sunak appointed prime minister after Liz Truss resigned. Key crypto-analysts ask what could happen under his premiership,NEGATIVE,0.981148183,https://uk.finance.yahoo.com/news/rishi-sunak-crypto-hub-bitcoin-123727766.html
BTC,"About six to ten miners in pipeline, CEO says. DeFi loans are being offered on a ‘full recourse’ basis",NEGATIVE,0.989465237,https://finance.yahoo.com/news/struggling-bitcoin-miners-flocking-maple-190736075.html
BTC,Sterling falls to record low against dollar on Friday. Bitcoin made a surprise rally as equity markets slide,NEGATIVE,0.879729629,https://uk.finance.yahoo.com/news/bitcoin-price-pound-dollar-124913124.html
BTC,"Peter Brandt expects coin’s price to bottom at $13,000. Says Fed needs to ‘regain its credibility’: Brandt",NEGATIVE,0.99967742,https://finance.yahoo.com/news/peter-brandt-btc-hit-time-184305478.html
